pkey,Topic_Title,categorytype,notes,active,sdate,mdate,addedby,modedby,thefile,strength,subCategory,link
392,"Clone table",Server-Side,"<pre>SELECT * INTO Persons_backup FROM Persons<br /><br />AKA: select into</pre>",1,"2008-09-16 15:14:17","2009-01-28 14:50:53",shawn,shawn,NULL,5,"MS SQL",http://www.w3schools.com/Sql/sql_select_into.asp
393,"Convert list to rows",Server-Side,"<p>CREATE FUNCTION [dbo].[listToRows]<br />(<br />&nbsp;&nbsp;&nbsp; @List VARCHAR(MAX),<br />&nbsp;&nbsp;&nbsp; @Delim CHAR<br />)<br />RETURNS<br />@ParsedList TABLE<br />(<br />&nbsp;&nbsp;&nbsp; value VARCHAR(MAX)<br />)<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; AS<br />BEGIN<br />DECLARE @value VARCHAR(MAX), @Pos INT<br />&nbsp;&nbsp;&nbsp; SET @List = LTRIM(RTRIM(@List))+ @Delim<br />&nbsp;&nbsp;&nbsp; SET @Pos = CHARINDEX(@Delim, @List, 1)<br />WHILE @Pos &gt; 0<br />&nbsp;&nbsp;&nbsp; BEGIN<br />&nbsp;&nbsp;&nbsp; SET @value = LTRIM(RTRIM(LEFT(@List, @Pos - 1)))<br />&nbsp;&nbsp;&nbsp; IF @value &lt;&gt; ''<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; BEGIN<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; INSERT INTO @ParsedList (value)<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; VALUES (CAST(@value AS VARCHAR(MAX)))<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; END<br />&nbsp;&nbsp;&nbsp; SET @List = RIGHT(@List, DATALENGTH(@List) - @Pos)<br />&nbsp;&nbsp;&nbsp; SET @Pos = CHARINDEX(@Delim, @List, 1)<br />&nbsp;&nbsp;&nbsp; END<br />RETURN<br />END</p>",1,"2008-09-17 11:58:28","2012-08-23 15:55:41",shawn,shawn,NULL,4,"MS SQL",http://blog.sqlauthority.com/2007/05/06/sql-server-udf-function-to-convert-list-to-table/
394,"How to make a recursive query",Server-Side,"<p>The key to a recursive query, is to use a CTE ... Referencing the CTE within the CTE, will make it recursive</p>
<p>
<hr />
</p>
<p>WITH All_Degrees (Degree_Name,Degree_Code,Degree_Category_Role_ID,Parent_Degree_Category_Role_ID,Level_ID) AS<br />(<br />&nbsp;SELECT&nbsp;&nbsp;Category_Name,NULL,Degree_Category_Role_ID,Parent_Degree_Category_Role_ID,0<br />&nbsp;FROM&nbsp;&nbsp;Degree_Categories<br />&nbsp;WHERE&nbsp;&nbsp;Parent_Degree_Category_Role_ID IS NULL</p>
<p>&nbsp;UNION ALL</p>
<p>&nbsp;SELECT&nbsp;&nbsp;dc.Category_Name,NULL,dc.Degree_Category_Role_ID,dc.Parent_Degree_Category_Role_ID,ad.Level_ID + 1<br />&nbsp;FROM&nbsp;&nbsp;Degree_Categories as dc<br /><span style=""color: #ff0000;"">&nbsp;JOIN&nbsp;&nbsp;All_Degrees ad<br />&nbsp;ON&nbsp;&nbsp;&nbsp;ad.Degree_Category_Role_ID = dc.Parent_Degree_Category_Role_ID<br /></span>)</p>
<p>select * from All_Degrees</p>",1,"2008-09-23 13:56:26","2008-09-23 13:58:14",shawn,shawn,NULL,5,"MS SQL",http://msdn.microsoft.com/en-us/library/ms186243.aspx
395,DataTypes,Server-Side,"<table class=""table"" border=""0"">
<tbody class=""tbody"">
<tr class=""trow"">
<th class=""tcell row"">Family</th><th class=""tcell row"">name</th><th class=""tcell row"">ADO Constant (reported)</th><th class=""tcell row numeric"">bytes</th><th class=""tcell row"">lower bound</th><th class=""tcell row"">upper bound</th>
</tr>
<tr class=""trow"">
<th class=""tcell row"" rowspan=""4"">Integer</th>
<td class=""tcell"">bigint</td>
<td class=""tcell""><code class=""prog constant"">adBigInt</code>=20</td>
<td class=""tcell numeric"">8</td>
<td class=""tcell"">-9,223,372,036,854,775,808</td>
<td class=""tcell"">9,223,372,036,854,775,807</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">int</td>
<td class=""tcell""><code class=""prog constant"">adInteger</code>=3</td>
<td class=""tcell"">4</td>
<td class=""tcell numeric"">-2,147,483,648</td>
<td class=""tcell"">2,147,483,647</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">smallint</td>
<td class=""tcell""><code class=""prog constant"">adSmallInt</code>=2</td>
<td class=""tcell"">2</td>
<td class=""tcell numeric"">-32,768</td>
<td class=""tcell"">32,767</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">tinyint</td>
<td class=""tcell""><code class=""prog constant"">adUnsignedTinyInt</code>=17</td>
<td class=""tcell"">1</td>
<td class=""tcell numeric"">0</td>
<td class=""tcell"">255</td>
</tr>
<tr class=""trow"">
<th class=""tcell row"" rowspan=""2"">Monetary</th>
<td class=""tcell"">money</td>
<td class=""tcell""><code class=""prog constant"">adCurrency</code>=6</td>
<td class=""tcell numeric"">8</td>
<td class=""tcell"">-922,337,203,685,477.5808</td>
<td class=""tcell"">922,337,203,685,477.5807</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">smallmoney</td>
<td class=""tcell""><code class=""prog constant"">adCurrency</code>=6</td>
<td class=""tcell"">4</td>
<td class=""tcell numeric"">-214,748.3648</td>
<td class=""tcell"">214,748.3647</td>
</tr>
<tr class=""trow"">
<th class=""tcell row"" rowspan=""2"">Date/Time</th>
<td class=""tcell"">datetime</td>
<td class=""tcell""><code class=""prog constant"">adDBTimeStamp</code>=135</td>
<td class=""tcell numeric"">8</td>
<td class=""tcell"">Jan 1, 1753</td>
<td class=""tcell"">Dec 31, 9999</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">smalldatetime</td>
<td class=""tcell""><code class=""prog constant"">adDBTimeStamp</code>=135</td>
<td class=""tcell"">4</td>
<td class=""tcell numeric"">Jan 1, 1900</td>
<td class=""tcell"">Dec 31, 2079</td>
</tr>
<tr class=""trow"">
<th class=""tcell row"" rowspan=""3"">Special</th>
<td class=""tcell"">bit</td>
<td class=""tcell""><code class=""prog constant"">adBoolean</code>=11</td>
<td class=""tcell numeric"">1</td>
<td class=""tcell"">0</td>
<td class=""tcell"">1</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">timestamp</td>
<td class=""tcell""><code class=""prog constant"">adBinary</code>=128</td>
<td class=""tcell"">8</td>
<td class=""box numeric"" colspan=""2"" rowspan=""15"">
<div class=""box numeric"">
<table class=""table"" border=""0"">
<tbody class=""tbody"">
<tr class=""trow"">
<th class=""tcell row"">synonym</th><th class=""tcell row"">datatype</th>
</tr>
<tr class=""trow"">
<td class=""tcell"">binary varying</td>
<td class=""tcell"">varbinary</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">[national] character[(n)]</td>
<td class=""tcell"">[n]char[(n)]</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">[national] character varying(n)</td>
<td class=""tcell"">[n]varchar(n)</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">[national] text</td>
<td class=""tcell"">ntext</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">dec</td>
<td class=""tcell"">decimal</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">integer</td>
<td class=""tcell"">int</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">double precision</td>
<td class=""tcell"">float</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">float(1-7)</td>
<td class=""tcell"">real</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">float(8-15)</td>
<td class=""tcell"">float</td>
</tr>
</tbody>
</table>
<div class=""box"">
<div class=""info"">
<h6 class=""title"">sql_variant<sub class=""designation subscript"">2000</sub></h6>
</div>
<p class=""p""><em class=""emphasis"">sql_variant</em> stores any datatype except             text, ntext, image, timestamp, and sql_variant (max 8016 bytes,             <span class=""thing""><code class=""prog constant"">adVarBinary</code>=204</span>).</p>
</div>
</div>
</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">uniqueidentifier<sub class=""designation subscript"">7</sub></td>
<td class=""tcell""><code class=""prog constant"">adGUID</code>=72</td>
<td class=""tcell"">16</td>
</tr>
<tr class=""trow"">
<th class=""tcell row"" rowspan=""2"">Approximate Numeric</th>
<td class=""tcell"">float[(n)]</td>
<td class=""tcell""><code class=""prog constant"">adDouble</code>=5</td>
<td class=""tcell"">8</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">real</td>
<td class=""tcell""><code class=""prog constant"">adSingle</code>=4</td>
<td class=""tcell"">4</td>
</tr>
<tr class=""trow"">
<th class=""tcell row"" rowspan=""2"">Exact Numeric</th>
<td class=""tcell"">decimal[(p[,s])]</td>
<td class=""tcell""><code class=""prog constant"">adDecimal</code>=14 (<code class=""prog constant"">adNumeric</code>=131)</td>
<td class=""tcell"" rowspan=""2""><var class=""placeholder"">p &lt;</var> 9/19/28/38         =5/9/13/17</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">numeric[(p[,s])]</td>
<td class=""tcell""><code class=""prog constant"">adNumeric</code>=131</td>
</tr>
<tr class=""trow"">
<th class=""tcell row"" rowspan=""2"">Binary</th>
<td class=""tcell"">binary[(n)]</td>
<td class=""tcell""><code class=""prog constant"">adBinary</code>=128</td>
<td class=""tcell""><var class=""placeholder"">n</var></td>
</tr>
<tr class=""trow"">
<td class=""tcell"">varbinary[(n)]</td>
<td class=""tcell""><code class=""prog constant"">adVarBinary</code>=204 (<code class=""prog constant"">adBinary</code>=128)</td>
<td class=""tcell""><var class=""placeholder"">m &lt;= n</var></td>
</tr>
<tr class=""trow"">
<th class=""tcell row"" rowspan=""4"">Character</th>
<td class=""tcell"">char[(n)]</td>
<td class=""tcell""><code class=""prog constant"">adChar</code>=129</td>
<td class=""tcell""><var class=""placeholder"">n</var></td>
</tr>
<tr class=""trow"">
<td class=""tcell"">nchar[(n)]<sub class=""designation subscript"">7</sub></td>
<td class=""tcell""><code class=""prog constant"">adWChar</code>=130</td>
<td class=""tcell""><var class=""placeholder"">n*2</var></td>
</tr>
<tr class=""trow"">
<td class=""tcell"">nvarchar[(n)]<sub class=""designation subscript"">7</sub></td>
<td class=""tcell""><code class=""prog constant"">adVarWChar</code>=202 (<code class=""prog constant"">adWChar</code>=130)</td>
<td class=""tcell""><var class=""placeholder"">m &lt;= n*2</var></td>
</tr>
<tr class=""trow"">
<td class=""tcell"">varchar[(n)]</td>
<td class=""tcell""><code class=""prog constant"">adVarChar</code>=200 (<code class=""prog constant"">adChar</code>=129)</td>
<td class=""tcell""><var class=""placeholder"">m &lt;= n</var></td>
</tr>
<tr class=""trow"">
<th class=""tcell row"" rowspan=""3"">Text and Image</th>
<td class=""tcell"">text</td>
<td class=""tcell""><code class=""prog constant"">adLongVarChar</code>=201 (<code class=""prog constant"">adChar</code>=129)</td>
<td class=""tcell"" rowspan=""3""><var class=""placeholder"">&lt;=</var> 2,147,483,647</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">ntext</td>
<td class=""tcell""><code class=""prog constant"">adLongVarWChar</code>=203 (<code class=""prog constant"">adWChar</code>=130)</td>
</tr>
<tr class=""trow"">
<td class=""tcell"">image</td>
<td class=""tcell""><code class=""prog constant"">adLongVarBinary</code>=205 (<code class=""prog constant"">adBinary</code>=128)</td>
</tr>
</tbody>
</table>",1,"2008-09-23 14:41:21","2008-09-23 14:42:52",shawn,shawn,NULL,4,"MS SQL",http://webcoder.info/reference/MSSQLDataTypes.html
396,"TRY CATCH",Server-Side,"<p>BEGIN TRY<br />&nbsp;&nbsp;&nbsp; -- Generate divide-by-zero error.<br />&nbsp;&nbsp;&nbsp; SELECT 1/0;<br />END TRY<br />BEGIN CATCH<br />&nbsp;&nbsp;&nbsp; -- Execute error retrieval routine.<br />&nbsp;&nbsp;&nbsp; EXECUTE usp_GetErrorInfo;<br />END CATCH;</p>
<hr />
<p>SELECT&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;ERROR_NUMBER() as Error_Number,--returns the number of the error.<br />&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;ERROR_SEVERITY() as ERROR_SEVERITY,--returns the severity.<br />&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;ERROR_STATE() as ERROR_STATE,--returns the error state number.<br />&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;ERROR_PROCEDURE() as ERROR_PROCEDURE,--returns the name of the stored procedure or trigger where the error occurred.<br />&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;ERROR_LINE() as ERROR_LINE,--returns the line number inside the routine that caused the error.<br />&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;ERROR_MESSAGE() as ERROR_MESSAGE--returns the complete text of the error message. The text includes the values supplied for any substitutable parameters, such as lengths, object names, or times.</p>
<hr />
<p>This is a great example of correctly wrapping a commit/rollback transaction:</p>
<p>BEGIN TRY<br />&nbsp;&nbsp; BEGIN TRANSACTION&nbsp;&nbsp;&nbsp; -- Start the transaction<br /><br />&nbsp;&nbsp; -- Delete the Employee's phone numbers<br />&nbsp;&nbsp; DELETE FROM EmployeePhoneNumbers<br />&nbsp;&nbsp; WHERE EmployeeID = @EmployeeID<br /><br />&nbsp;&nbsp; -- If we reach here, success!<br />&nbsp;&nbsp; COMMIT<br />END TRY<br />BEGIN CATCH<br />&nbsp; -- Whoops, there was an error<br />&nbsp; IF @@TRANCOUNT &gt; 0<br />&nbsp;&nbsp;&nbsp;&nbsp; ROLLBACK<br /><br />&nbsp; -- Raise an error with the details of the exception (I believe this allows continuing with print message)<br />&nbsp; DECLARE @ErrMsg nvarchar(4000), @ErrSeverity int<br />&nbsp; SELECT @ErrMsg = ERROR_MESSAGE(),<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; @ErrSeverity = ERROR_SEVERITY()<br /><br />&nbsp; RAISERROR(@ErrMsg, @ErrSeverity, 1)<br />END CATCH</p>
<hr />
<p>SQL 2008 : <a href=""http://technet.microsoft.com/en-us/library/ms175976.aspx"">CLICK HERE</a></p>",1,"2008-09-23 16:54:11","2009-09-19 16:19:21",shawn,shawn,NULL,4,"MS SQL",http://www.4guysfromrolla.com/webtech/041906-1.shtml
397,"CHARINDEX(pattern , string-2-search)",Server-Side,NULL,1,"2008-09-23 17:37:25","2008-09-23 17:37:26",shawn,shawn,NULL,5,"MS SQL",NULL
398,"Select rows in one table not in another",Server-Side,"<pre>SELECT<span>&nbsp;&nbsp;&nbsp;&nbsp; a.i<br /></span>FROM<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; #a AS a<br /></span>LEFT <span>JOIN&nbsp; #b AS b ON b.j = a.i<br /></span>WHERE<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; b.j IS NULL--this part is key, which makes sure rows that are found are not returned</span></pre>",1,"2008-09-29 10:30:52","2008-09-29 10:30:52",shawn,shawn,NULL,5,"MS SQL",http://weblogs.sqlteam.com/peterl/archive/2007/09/20/Finding-records-in-one-table-not-present-in-another-table.aspx
399,"Rows to List",Server-Side,"<p>1. Use STUFF to have proper delimination.<br />2. Use a subquery in the select that joins to the outer FROM<br />3. Use ""FOR XML PATH('')"" to trick SQL into allowing multi row subquery return</p>
<hr />
<p>select<br />&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;STUFF(<br />&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;(<br />&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;SELECT&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;char(44) + cm_i.contact_value<br />&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;FROM&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;contact_methods cm_i<br />&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp; FOR XML PATH('')<br />&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;), 1, 1, ''<br />&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;) AS contact_value</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>keywokrds: rows-to-list, list to rows</p>",1,"2008-09-30 13:42:33","2016-03-02 10:40:30",shawn,shawn,NULL,3,"MS SQL",NULL
400,"Add identity column to existing table",Server-Side,"<p>ALTER TABLE table-name ADD column-name INT IDENTITY(1,1)</p>",1,"2008-10-01 12:44:29","2008-10-01 12:44:29",shawn,shawn,NULL,3,"MS SQL",NULL
401,"Get all columns for a DB",Server-Side,"<p>SELECT&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;so.name as table_name,<br />&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;sc.name as column_name,<br />&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;systypes.name as data_type,<br />&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;sc.length as length<br />FROM&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;[866MyMajor].dbo.sysobjects so<br />JOIN&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;[866MyMajor].dbo.syscolumns sc<br />ON&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;so.id = sc.id<br />JOIN&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;[866MyMajor].dbo.systypes<br />ON&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;sc.xtype=systypes.xtype<br />WHERE&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;so.xtype='U'<br />ORDER BY&nbsp;&nbsp;&nbsp; so.name,sc.colid</p>",1,"2008-10-01 12:54:02","2008-10-01 12:56:20",shawn,shawn,NULL,4,"MS SQL",http://codesnippets.joyent.com/posts/show/337
402,"Performing Multiple Insert (SELECT to INSERT)",Server-Side,"<p><strong>EXAMPLE:</strong><br />INSERT INTO lg_lead_manager_3.dbo.ITEM_TYPES<br />&nbsp;&nbsp;&nbsp;(item_type_title,item_type_parent_id)<br />SELECT&nbsp;&nbsp;'0-3 Months',1<br />UNION ALL<br />SELECT&nbsp;&nbsp;'4-6 Months',2<br />UNION ALL<br />SELECT&nbsp;&nbsp;'7-12 Months',3</p>
<p><strong>EXAMPLE:<br /></strong>http://msdn.microsoft.com/en-us/library/ms188263.aspx<strong></strong></p>",1,"2008-10-07 16:05:41","2011-10-05 09:17:52",shawn,shawn,NULL,5,"MS SQL",http://msdn.microsoft.com/en-us/library/ms188263.aspx
403,"View all foreign key constraints",Server-Side,"<p>SELECT&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; (<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; CASE<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; WHEN OBJECTPROPERTY(CONSTID, 'CNSTISDISABLED') = 0 THEN 'ENABLED'<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ELSE 'DISABLED'<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; END<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ) AS Status,<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; OBJECT_NAME(FKEYID) AS FK_TABLE_NAME,<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; COL_NAME(FKEYID, FKEY) AS FK_COLUMN_NAME,<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; OBJECT_NAME(RKEYID) AS PK_TABLE_NAME,<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; COL_NAME(RKEYID, RKEY) AS PK_COLUMN_NAME,<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; OBJECT_NAME(CONSTID) AS CONSTRAINT_NAME<br />FROM&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; SYSFOREIGNKEYS</p>",1,"2008-10-08 10:49:27","2008-10-08 13:32:48",shawn,shawn,NULL,3,"MS SQL",http://decipherinfosys.wordpress.com/2008/02/20/disableenable-foreign-key-and-check-constraints-in-sql-server/
404,"Difference between clustered and nonclustered index",Server-Side,"<p>Clustered index contains all the data, sorted by the indexed column. Since a clustered index contains ALL the data, only 1 clustered index per table is allowed.</p>
<p>NonClustered index only contains the data in the created index and is sorted by its definition of columns included in the index. Unlike clustered, since only the column defined in the index are included, many indexs can be greated, also since not all the data is stored this means improved performans. Note, that if a query requires columns outside a define nonclustered index, than the index cannot be used.</p>",1,"2008-10-08 18:45:16","2008-10-08 18:45:16",shawn,shawn,NULL,4,"MS SQL",NULL
405,"Using ColdFusion Ajax Debug window",Server-Side,"<p>ColdFusion.Log.debug - A message that aids in debugging problems.<br /><br />ColdFusion.Log.dump - A representation of a single variable in a format similar to cfdump. This function can display the structure and contents of JavaScript Array and Object variables.<br /><br />ColdFusion.Log.error - Information about an error. Use this function only in error-handling code.</p>
<p>ColdFusion.Log.info - Information about properly operating code that can be useful in tracing and analyzing the client-side code's execution.</p>
<hr />
<p>EXAMPLE USAGE:</p>
<p style=""padding-left: 30px;"">&lt;SCRIPT&gt;<br />ColdFusion.Log.info(""hey some useful information"",""category-name"");<br /><br />ColdFusion.Log.dump(window,""category-name"")<br />&lt;/SCRIPT&gt;</p>",1,"2008-10-13 14:16:21","2008-10-13 14:16:21",shawn,shawn,NULL,4,ColdFusion,http://livedocs.adobe.com/coldfusion/8/htmldocs/help.html?content=ajaxdata_10.html#1126741
406,"Outlook set email rules",Extensibility,NULL,1,"2008-10-16 12:35:20","2008-11-05 09:42:01",shawn,shawn,NULL,4,"MS Windows",http://office.microsoft.com/en-us/outlook/HA010173281033.aspx
407,REPLACE,Server-Side,"<pre id=""ctl00_rs1_mainContentContainer_ctl06other"" class=""libCScode"">REPLACE ( string_expression , string_pattern , string_replacement )</pre>",1,"2008-10-21 12:02:43","2008-10-21 12:02:43",shawn,shawn,NULL,5,"MS SQL",http://msdn.microsoft.com/en-us/library/ms186862.aspx
408,Triggers,Server-Side,"<p>SELECT * FROM INFORMATION_SCHEMA.TRIGGERS</p>",1,"2008-10-26 12:24:36","2008-10-26 12:24:36",shawn,shawn,NULL,5,mySQL,http://dev.mysql.com/doc/refman/5.0/en/triggers.html
409,"Database General information",Server-Side,"<p>SELECT * FROM sys.databases</p>",1,"2008-10-27 11:10:10","2008-10-27 11:10:10",shawn,shawn,NULL,3,"MS SQL",NULL
410,"Delete all child nodes",Client-Side,"<p>deleteAllChildren = function(obj){<br />&nbsp;&nbsp;&nbsp; while(obj.childeNodes.length){<br />&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; obj.removeChild(obj.firstChild);<br />&nbsp;&nbsp;&nbsp; }<br />}</p>",1,"2008-10-27 12:48:02","2008-10-27 13:15:40",shawn,shawn,NULL,0,JavaScript,NULL
